Name|Deerling
Number|585
ExperienceType|1
BaseExperience|67
Type1|Normal
Type2|Grass
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|585
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|34
Ability2|157
HiddenAbility|32
EggMoves|97,226,313,320,363,316,214,235,388
Machines|174,92,237,173,63,182,202,203,218,76,216,189,104,207,214,129,197,156,213,25,34,36,99,72,102,117,130,164,331,263,290,412,416,445,363,496,526,267,590,148,560
BaseHP|60
BaseAttack|60
BaseDefense|50
BaseSpAttack|40
BaseSpDefense|50
BaseSpeed|75
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Their colouring changes according to the seasons and can be slightly affected by the temperature and humidity as well.\Season Pokémon\19.5\0.6\0,148,0
Scale|0.84
Move|1,33
Move|1,293
Move|4,45
Move|10,24
Move|13,73
Move|16,185
Move|20,36
Move|24,26
Move|28,312
Move|32,412
Move|36,204
Move|41,267
Move|46,38
Move|51,76
TradeValue|30
EvolutionCondition|586,level,34,level
