Name|Ferrothorn
Number|598
ExperienceType|1
BaseExperience|171
Type1|Grass
Type2|Steel
CatchRate|90
BaseFriendship|70
EggGroup1|Grass
EggGroup2|Mineral
BaseEggSteps|5355
EggPokemon|597
IsGenderLess|0
CanBreed|1
Devolution|597
IsMale|50
Ability1|160
Ability2|Nothing
HiddenAbility|107
EggMoves|491,331,356,73,431,402,191,446,388
Machines|174,92,249,237,241,173,63,182,202,203,218,76,87,216,104,207,214,201,197,156,213,14,32,34,36,38,99,72,85,102,117,120,130,86,153,164,331,332,263,290,412,421,371,416,397,360,446,445,363,398,447,430,468,496,267,590,15,70,148,560
BaseHP|74
BaseAttack|94
BaseDefense|131
BaseSpAttack|54
BaseSpDefense|116
BaseSpeed|20
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|By swinging around its three spiky feelers and shooting spikes, it can obliterate an opponent.\Thorn Pod Pokémon\110\1\0,148,0
Scale|1
Move|1,431
Move|1,33
Move|1,106
Move|1,205
Move|1,174
Move|6,205
Move|9,174
Move|14,232
Move|18,42
Move|21,360
Move|26,334
Move|30,429
Move|35,275
Move|40,438
Move|46,442
Move|53,371
Move|61,430
Move|67,153
TradeValue|50
Item|5,70
