Name|Lampent
Number|608
ExperienceType|2
BaseExperience|130
Type1|Ghost
Type2|Fire
CatchRate|90
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|607
IsGenderLess|0
CanBreed|1
Devolution|607
IsMale|50
Ability1|18
Ability2|49
HiddenAbility|151
EggMoves|499,203,114,257,471,51,151,445
Machines|174,92,244,237,241,173,63,182,203,218,76,216,94,247,104,207,214,126,138,197,156,213,168,171,99,102,117,149,164,347,269,219,53,263,290,315,412,261,373,371,416,445,399,363,433,477,488,496,510,590,148
BaseHP|60
BaseAttack|40
BaseDefense|60
BaseSpAttack|95
BaseSpDefense|60
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The spirits it absorbs fuel its baleful fire. It hangs around hospitals waiting for people to pass on.\Lamp Pokémon\13\0.6\0,148,0
Scale|0.84
Move|1,52
Move|1,310
Move|1,107
Move|1,123
Move|3,107
Move|5,123
Move|7,83
Move|10,109
Move|13,101
Move|16,261
Move|20,481
Move|24,286
Move|28,506
Move|33,262
Move|38,517
Move|45,174
Move|53,247
Move|61,220
Move|69,315
TradeValue|50
EvolutionCondition|609,item,136,item
