Name|Grimer
Number|88
ExperienceType|1
BaseExperience|65
Type1|Poison
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|88
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|1
Ability2|60
HiddenAbility|143
EggMoves|491,174,114,286,122,212,184,325,425,255,254,256,153
Machines|223,174,92,192,237,241,173,63,182,240,202,203,218,216,189,104,8,207,214,188,126,9,197,156,213,7,34,99,72,102,117,120,164,351,263,290,416,445,363,474,482,496,611,612,590
BaseHP|80
BaseAttack|80
BaseDefense|50
BaseSpAttack|40
BaseSpDefense|50
BaseSpeed|25
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|As it moves from which new GRIMER emerge. This worsens the stench around it.\Sludge Pokémon\30\0.9\0,148,0
Scale|0.96
Move|1,1
Move|1,139
Move|4,106
Move|7,189
Move|12,50
Move|15,124
Move|18,107
Move|21,426
Move|26,188
Move|29,374
Move|32,103
Move|37,482
Move|40,151
Move|43,441
Move|46,562
Move|48,262
TradeValue|15
Item|5,36
EvolutionCondition|89,Level,38,Level
