# {DexNumber|AdditionalValue|InPartyFormTriggers|FormNamePrefix|FormNameSuffix|DataFileSuffix|MenuIconFile,X_Coordinate,Y_Coordinate|FrontBackSpriteFileSuffix|OverworldSpriteFileSuffix|CryFileSuffix|WildFormTriggers|TypeChange|IncludeBaseFormInDexCount}
# "InPartyFormTriggers" can take one or an array of the following value types (separated by commas): Gender;GenderID / Season;SeasonID / Environment;EnvironmentType1;EnvironmentType2 (etc.) / Item;ItemID
# "WildFormTriggers" can take one or an array of the following value types (separated by commas): Random;String1;String2 (etc.) / Random;MinValue-MaxValue / Gender;GenderID / Season;SeasonID / Environment;EnvironmentType1;EnvironmentType2 (etc.)
{3|mega||Mega ||_mega|Megas,0,0|_mega|_mega|_mega|||}
{6|mega_x||Mega | X|_mega_x|Megas,1,0|_mega_x|_mega_x|_mega_x|||}
{6|mega_y||Mega | Y|_mega_y|Megas,2,0|_mega_y|_mega_y|_mega_y|||}
{9|mega||Mega ||_mega|Megas,3,0|_mega|_mega|_mega|||}
{15|mega||Mega ||_mega|Megas,12,1|_mega|_mega|_mega|||}
{18|mega||Mega ||_mega|Megas,13,1|_mega|_mega|_mega|||}
{19|alola||Alolan ||_alola|Regional,0,0|_alola|_alola|_alola|||}
{20|alola||Alolan ||_alola|Regional,1,0|_alola|_alola|_alola|||}
{26|alola||Alolan ||_alola|Regional,2,0|_alola|_alola|_alola|||}
{27|alola||Alolan ||_alola|Regional,3,0|_alola|_alola|_alola|||}
{28|alola||Alolan ||_alola|Regional,4,0|_alola|_alola|_alola|||}
{37|alola||Alolan ||_alola|Regional,5,0|_alola|_alola|_alola|||}
{38|alola||Alolan ||_alola|Regional,6,0|_alola|_alola|_alola|||}
{50|alola||Alolan ||_alola|Regional,7,0|_alola|_alola|_alola|||}
{51|alola||Alolan ||_alola|Regional,8,0|_alola|_alola|_alola|||}
{52|alola||Alolan ||_alola|Regional,9,0|_alola|_alola|_alola|||}
{52|galar||Galarian ||_galar|Regional,0,2|_galar|_galar|_galar|||}
{53|alola||Alolan ||_alola|Regional,10,0|_alola|_alola|_alola|||}
