language_name,Français
=====
Global:
global_please_wait,Veuillez patienter
global_loading,Chargement
global_game,Jeu
global_login,se connecter
global_male,Homme
global_female,Femme
global_genderless,Asexué
global_yes,Oui
global_no,Non
global_accept,Accepter
global_cancel,Annuler
global_ok,OK
global_gamemode,Mode de Jeu
global_clear,Clear
global_save,Sauvegarder
global_apply,Appliquer
global_close,Fermer
global_back,Retour
global_on,On
global_off,Off
global_enabled,Activé
global_disabled,Désactivé
global_enable,Active
global_disable,Désactive
global_player_name,Nom du joueur
global_badges,Badges
global_play_time,Temps de jeu
global_location,Localisation
global_money,Argent
global_points,Points
global_ot,OT
global_time,Time
global_name,Nom
global_order,Ordre
global_filter,Filtre
global_reset,Reset
global_pokemon_type_normal,Normal
global_pokemon_type_fire,Feu
global_pokemon_type_flying,Vol
global_pokemon_type_fighting,Combat
global_pokemon_type_water,Eau
global_pokemon_type_grass,Plante
global_pokemon_type_poison,Poison
global_pokemon_type_ground,Sol
global_pokemon_type_electric,Electrique
global_pokemon_type_psychic,Psy
global_pokemon_type_rock,Roche
global_pokemon_type_ice,Glace
global_pokemon_type_bug,Insecte
global_pokemon_type_dragon,Dragon
global_pokemon_type_ghost,Spectre
global_pokemon_type_dark,Ténèbre
global_pokemon_type_steel,Acier
global_pokemon_type_fairy,Fée
global_pokemon_type_blank,Blank
global_true,True
global_false,False
global_select,Select
global_summary,Résumé
global_item,Objet
global_use,Utiliser
global_give,Donner
global_take,Prendre
global_toss,Jeter
global_switch,Changer
global_pokemon_move_fly,Vol
global_pokemon_move_rocksmash,Éclate-Roc
global_pokemon_move_ride,Ride
global_pokemon_move_flash,Flash
global_pokemon_move_cut,Coupe
global_pokemon_move_teleport,Teleport
global_pokemon_move_dig,Tunnel
global_used,Utilisé
---
General:
HP,HP
PP,PP
Lv.,Lv.
No.,No.
Level,Niveau
MaxHP,Max HP
Attack,Attaque
Defense,Defense
Special_Attack,Attaque spécial
Sp_Attack,Attaque spé.
Special_Defense,Défense spécial
Sp_Defense,Défense spé.
Speed,Vitesse
---
Keyboard Keys:

keyboard_key_Up,Up
keyboard_key_Down,Down
keyboard_key_Left,Left
keyboard_key_Right,Right
keyboard_key_Enter,Enter
keyboard_key_Space,Space
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,Left Shift
keyboard_key_RightShift,Right Shift
---
FieldMoves:

fieldmove_cut_1,Cet arbre semble pouvoir être~coupé!
fieldmove_cut_2,*Veux-tu utiliser coupe?
fieldmove_cut_NothingToCut,There is nothing~to be Cut!
fieldmove_cut_used, a utilisé~coupe!

fieldmove_rocksmash_1,Ce rocher semble~pouvoir être brisé!
fieldmove_rocksmash_2,*Veux-tu utiliser Éclate-Roc?
fieldmove_rocksmash_used,a utilisé~Éclate-Roc!

fieldmove_strength_1,Un Pokémon semble pouvoir~bouger ceci.
fieldmove_strength_2,*Veux-tu utiliser Force?
fieldmove_strength_used, a utilisé~Force!

fieldmove_surf_type0,Tu veux faire du Surf?
fieldmove_surf_type1,L'eau a l'air calme~et profonde.~Tu veux faire du Surf?
fieldmove_surf_type2,Ce lac est~calme et peu profond.~Veux-tu faire du surf ?
fieldmove_surf_used, a utilisé~Surf!

fieldmove_dive_down_1,L'eau semble très profonde~à cet endroit.
fieldmove_dive_down_2,*Veux-tu utiliser~Plongée?
fieldmove_dive_up_type1,La lumière brille depuis~la surface.*Tu veux~utiliser Plongée ?
fieldmove_dive_up_type2,L'ombre du bateau est projetée sur le fond de l'océan. *Voulez-vous utiliser Plongée ?
fieldmove_dive_used,a utilisé~Plongée!

fieldmove_headbutt_question,Cet arbre pourrait contenir~un Pokémon.*Veux-tu~utiliser Coup d'Boule?
fieldmove_headbutt_used,a utilisé~Coup d'Boule!

fieldmove_waterfall_used,a utilisé~Cascade.

fieldmove_ride_cannot_walk,You cannot walk here!
fieldmove_ride_cannot_ride,You cannot Ride here!
fieldmove_ride_used,used~Ride!

fieldmove_flash_AreaLitUp,The area got lit up!
fieldmove_flash_AlreadyLitUp,The area is already~lit up!
fieldmove_flash_used,used~Flash!

fieldmove_dig_CannotUse,Cannot use Dig here.
fieldmove_dig_used,used~Dig!

fieldmove_teleport_CannotUse,Cannot use Teleport here.
fieldmove_teleport_used,used~Teleport!
---
GameInteractions:
game_interaction_interact,Interact
game_interaction_gamemenu,Menu du Jeu
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Menu Pause
game_interaction_notification,Notification
game_notification_accept,Appuie sur <system.button(special)> pour accepter.
game_notification_dismiss,Appuie sur <system.button(special)> pour refuser.
---
PressStartScreen:
start_screen_press,Appuie sur
start_screen_tostart,pour commencer.
---
Main Menu:
main_menu_newgame_line1,Nouvelle
main_menu_newgame_line2,Partie
main_menu_options,Options
main_menu_savefile_name,Nom du joueur
main_menu_savefile_gamemode,Mode de Jeu
main_menu_savefile_badges,Badges
main_menu_savefile_playtime,Temps de jeu
main_menu_savefile_location,Localisation
main_menu_gamejolt_ChangeToMale,Change to male
main_menu_gamejolt_ChangeToFemale,Change to female
main_menu_gamejolt_ChangeToGenderless,Change to genderless
main_menu_gamejolt_ResetSave,Reset save
main_menu_error_gamemode_profile,Le Mode de Jeu requis n'éxiste pas!
main_menu_error_gamemode_message,Le Mode de Jeu requis n'existe pas.~Le Mode de Jeu est requis pour jouer sur ce profil.
main_menu_error_gamejolt_1,Le téléchargement a échoué. Appuie sur Accepter pour réessayer.
main_menu_error_gamejolt_2,Si le problème persiste, réessaie plus tard
main_menu_error_gamejolt_3,ou contacte-nous sur notre serveur Discord :
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,La validation du fichier a échoué!~Retélécharge les fichiers du jeu pour résoudre ce problème.
main_menu_options_language,Language
main_menu_options_audio,Audio
main_menu_options_controls,Controles
main_menu_options_contentpacks_line1,Content
main_menu_options_contentpacks_line2,Packs

GameModeMenu:
gamemode_menu_select1,Sélectionne un Mode de Jeu
gamemode_menu_select2,pour commencer une nouvelle partie avec.
gamemode_menu_name,Nom
gamemode_menu_description,Description
gamemode_menu_version,Version
gamemode_menu_author,Autheur
gamemode_menu_contentpath,ContentPath
gamemode_menu_create,Créer
gamemode_menu_back,Retour
---
JoinServerScreen:
join_server_screen_title,Serveurs:
join_server_screen_local_server_title,Local
join_server_screen_local_server_description,Single-player: Joue en local sur ton PC.
join_server_screen_button_join,Joindre
join_server_screen_button_play,Jouer
join_server_screen_button_refresh,Actualiser
join_server_screen_button_new,Nouveau
join_server_screen_button_add,Ajouter
join_server_screen_button_edit,Éditer
join_server_screen_button_remove,Supprimer
join_server_screen_tooltip_no_players,Aucun joueur sur le serveur.
join_server_screen_tooltip_player_list,Liste de joueur
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Impossible de joindre le serveur.
join_server_screen_server_online,Server online.
join_server_screen_server_polling,Polling
join_server_screen_server_full,Le serveur est plein.
join_server_screen_version_mismatch,La version ne correspond pas à celle du serveur.
join_server_screen_no_connection,(pas de connection)
---
Options Screen:
option_screen_title,Options
option_screen_warning,Les options ne sont pas encore sauvegardé. Descend et choisis "Sauver les options".
option_screen_backadvice,APPUIE SUR [<system.button(OpenMenu)>] POUR SORTIR
option_screen_description,Description

option_screen_game,Jeu
option_screen_game_textspeed,Vitesse du texte
option_screen_game_textspeed_description,Change la vitesse de défilement du texte.
option_screen_game_difficulty,Difficulté
option_screen_game_difficulty_description,Définit le niveau de difficulté.
option_screen_game_difficulty_easy,Facile
option_screen_game_difficulty_hard,Difficile
option_screen_game_difficulty_superhard,Extreme
option_screen_game_interfacescale,Taille de l'interface
option_screen_game_interfacescale_automatic,Automatique
option_screen_game_viewbobbing,View Bobbing
option_screen_game_viewbobbing_description,Active ou désactive le tremblement de la caméra.

option_screen_graphics,Graphiques
option_screen_graphics_fov,FOV
option_screen_graphics_renderdistance,Distance de vue
option_screen_graphics_renderdistance_tiny,Minuscule
option_screen_graphics_renderdistance_short,Court
option_screen_graphics_renderdistance_normal,Normal
option_screen_graphics_renderdistance_far,Loin
option_screen_graphics_renderdistance_extreme,Extreme
option_screen_graphics_offset_mapquality,Offset Map Quality
option_screen_graphics_offset_mapquality_off,Off
option_screen_graphics_graphics,Graphiques
option_screen_graphics_graphics_fancy,Lent
option_screen_graphics_graphics_fast,Rapide
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Combat
option_screen_battle_3dmodels,Modèles 3D
option_screen_battle_animations,Animations
option_screen_battle_battlestyle,Battle Style
option_screen_battle_battlestyle_shift,Shift
option_screen_battle_battlestyle_set,Set

option_screen_controls,Controls
option_screen_controls_xboxgamepad,Manette Xbox
option_screen_controls_resetkeybindings,Reset par defaut
option_screen_controls_cameraspeed,Vitesse caméra
option_screen_controls_cameraspeed_slow,...Lent...
option_screen_controls_cameraspeed_medium,Standard
option_screen_controls_cameraspeed_fast,Super rapide!
option_screen_controls_cameraspeed_fastest,VITESSE DE LA LUMIERE!
option_screen_controls_running,Courrir
option_screen_controls_running_hold,Maintenir
option_screen_controls_running_toggle,Basculer

option_screen_audio,Audio
option_screen_audio_volume_music,Volume Musique
option_screen_audio_volume_sfx,Volume SFX
option_screen_audio_muted,Muted

option_screen_contentpacks_up,Monter
option_screen_contentpacks_down,Descendre
option_screen_contentpacks_information,Information
option_screen_contentpacks_songs,Songs
option_screen_contentpacks_sounds,Sounds
option_screen_contentpacks_textures,Textures
option_screen_contentpacks_name,Nom
option_screen_contentpacks_version,Version
option_screen_contentpacks_by,By
option_screen_contentpacks_content,Content
option_screen_contentpacks_description,Description

option_screen_resetoptions,Reset options
option_screen_save_options,Sauver options
option_screen_close,Fermer
---
Pausescreen:
pause_menu_title,Menu du jeu
pause_menu_back_to_game,Retour au jeu
pause_menu_disconnect,Déconnecter
pause_menu_quit_to_menu,Menu Principal
pause_menu_autosave_fail,Impossible de créer une sauvegarde automatique.
pause_menu_yes,Oui
pause_menu_no,Non
pause_menu_confirmation,Voulez-vous vraiment quitter ? Les progrès non sauvegardés seront perdus.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Sac
game_menu_trainer_card,<player.name>
game_menu_save,Sauvegarder
game_menu_save_notpossible,Impossible de sauvegarder maintenant!
game_menu_options,Options
game_menu_exit,Quitter le Menu
game_menu_end_contest,End Contest
---
InventoryScreen:
inventory_screen_title,Inventory
inventory_screen_ItemSubtitle_HM,Hidden Machine
inventory_screen_ItemSubtitle_TM,Technical Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Item
inventory_screen_ItemSubtitle_KeyItem,Key Item
inventory_screen_ItemSubtitle_PokeBall,Poké Ball
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Battle Item
inventory_screen_ItemNotUsableInBattle,This item can't~be used in Battle.
inventory_screen_TossConfirmation,Are you sure you want to toss~this item?
inventory_screen_TossAmount,Select the amount to toss.
inventory_screen_GiveItem_Give,Gave <name> the <newitem>.
inventory_screen_GiveItem_Switch,Switched <name>'s <olditem> with the <newitem>.
inventory_screen_EggsCannotHold,Les œufs ne peuvent pas tenir d'objets.
inventory_screen_GiveItem_TakeMail,Gave <newitem> to <name> and took the Mail to the PC.
inventory_screen_CannotGiveToPokemon,<newitem> cannot be given to a Pokémon.
---
PartyScreen:
party_screen_Unable,Unable!
party_screen_Able,Able!
party_screen_FieldMove,Field Move
party_screen_ChoosePokemon,Choisi le Pokémon
party_screen_CannotChoosePokemon,Cannot choose this~Pokémon.
---
NewGameScreen:
new_game_intro_1,Bonjour!~Désolé de l'attente!*Bienvenue dans le monde~des POkéMON!*Mon nom est CHEN.~Mais on m'appelle le~PROF.POKéMON*Ce monde est peuplé de créature appelées POKéMON.
new_game_intro_2,*Humains et POKéMON vivent~en parfaite harmonie....~Certain jouent avec les~Pokémon,~d'autre font des combats~avec eux.*Mais il reste encore~beaucoup à apprendre sur~nos amis les POkéMON.~De nombreux mystères planent~à leur sujet.*Et c'est pourquoi j'étudie~les POKéMON tous les jours.*Heu....c'est quoi ton nom déjà?
new_game_intro_3,~ta quête est sur le point~de commencer?*Joies et périls paveront ta route....~Un monde de rêve, de danger et de POKéMON~t'attend!En avant!*A plus tard!
new_game_intro_weird_name_1,Bon! donc ton nom est~
new_game_intro_weird_name_2,!*Hum c'est un~nom bizzare.
new_game_intro_known_name_1,Bon! donc ton nom est~
new_game_intro_known_name_2,!*Hm je suis sur d'avoir~entendu ce nom avant.
new_game_intro_same_name_1,Hey nous avons le même nom.*Mon nom est aussi~
new_game_intro_same_name_2,!
new_game_intro_name_1,Bon! donc ton nom est~
new_game_intro_name_2,!
new_game_select_skin,Choisis ton personnage
---
MapScreen:
map_screen_cities,Ville
map_screen_routes,Routes
map_screen_places,Places
map_screen_roaming,Roaming Pokes
---
Trainer Card Screen:
trainer_screen_title,Trainer Card
trainer_screen_collected_badges,Collection de badges
trainer_screen_badge,Badge
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_name,Nom
save_screen_badges,Badges
save_screen_money,Argent
save_screen_time,Temps
save_screen_yes,Oui
save_screen_no,Non
---
Apricorn Screen:
apricorn_screen_apricorns,Noigrumes
apricorn_screen_producing,Je fabrique des Balls en ce moment.~Reviens plus tard.
apricorn_screen_backadvice,APPUIE SUR [<system.button(OpenMenu)>] POUR SORTIR
apricorn_screen_choose_apricorns,Choisis les Noigrumes que tu veux transformer en Balls.
apricorn_screen_ok,OK
apricorn_screen_clear,Tout enlever
apricorn_screen_all,Tous
apricorn_screen_take,Prendre
apricorn_screen_ready,J'ai fini. Voici le résultat de mon travail:
apricorn_screen_obtain, obtient
---
Donation screen:
donation_screen_donators,Donateurs
donation_screen_backadvice,Appuie sur [<system.button(OpenMenu)>] pour fermer
---
Blackout Screen:
black_out_screen_line1,Tu n'as plus de POKéMON en Forme!
black_out_screen_line2,Tu sera transporter 
black_out_screen_line3,au plus proche centre POKéMON
black_out_screen_line4,pour soigner les blessures
black_out_screen_line5,de tes POKéMON.
---
Credits Screen:
credits_continue,Appuie sur [<system.button(enter1)>] pour continuer.
---
Voltorb Flip:
VoltorbFlip_LV.,LV.
VoltorbFlip_CurrentCoins_Line1,Coins found
VoltorbFlip_CurrentCoins_Line2,in this LV.
VoltorbFlip_TotalCoins_Line1,<player.name>'s
VoltorbFlip_TotalCoins_Line2,earned Coins

VoltorbFlip_MemoButton_Open_Line1,Ouvrir
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Fermer
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Quitter

VoltorbFlip_QuitQuestion_Question_1,Si tu quitte maintenant,tu vas~recevoir
VoltorbFlip_QuitQuestion_Question_2,Coin(s).*Veux-tu quitter?
VoltorbFlip_QuitQuestion_AnswerYes,Oui
VoltorbFlip_QuitQuestion_AnswerNo,Non

VoltorbFlip_BeforeNewLevel_Main_Question_1,Play Voltorb Flip Lv.
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Jouer
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Game Info
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Quitter
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Which set of info?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,Comment jouer
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,A propos de Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Back

VoltorbFlip_GameWon_1,Game clear!~You've found all of the~hidden x2 and x3 cards.*<player.name> à reçu~
VoltorbFlip_GameWon_2,Coin(s)!

VoltorbFlip_GameLost,Oh no! You get 0 Coins!

VoltorbFlip_MaxCoins,Your Coin Case can't fit~any more Coin(s)!

VoltorbFlip_NewLevel_Lower1,Dropped to Game Lv.
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Advanced to Game Lv.
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Ready to play Game Lv.
VoltorbFlip_NewLevel_Ready2,!

VoltorbFlip_QuitGame_1,<player.name> received~
VoltorbFlip_QuitGame_2,Coin(s)!

VoltorbFlip_AfterGame_Won1,You've won
VoltorbFlip_AfterGame_Won2,Coin(s)!
VoltorbFlip_AfterGame_Lost,Too bad, you didn't win~any Coins!*Better luck next time!

VoltorbFlip_BeforeGame_NoCoinCase,You don't have a Coin Case!~Come back when you have one!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is a game in which~you flip over cards to find~numbers hidden beneath them.*The cards are hiding the~numbers 1 through 3...~and Voltorb as well.*The first number you flip over~will give you that many Coins.*From then on, the next number~you find will multiply the~total amount of Coins you've~collected by that number.*If it's a 2, your total will~be multiplied by "x2".*If it's a 3, your total will~be multiplied by "x3".*But if you flip over a~Voltorb, it's game over.*When that happens, you'll lose~all the Coins you've collected~in the current level.*If you select "Quit", you'll~withdraw from the level.*If you get to a difficult~spot, you might want to end~the game early.*Once you've found all the~hidden 2 and 3 cards,~you've cleared the game.*Once you've flipped over~all these cards, then you'll~advance to the next level.*As you move up in levels,~you will be able to receive~more Coins. Do your best!
VoltorbFlip_Tutorial_Hint_Message,The numbers at the side~of the board give you a clue~about the numbers hidden on~the backs of the cards.*The larger the number, the~more likely it is that there~are many large numbers hidden~in that row or column.*In the same way, you can tell~how many Voltorb are hidden~in the row or column.*Consider the hidden number~totals and the Voltorb~totals carefully as you~flip over cards.
VoltorbFlip_Tutorial_AboutMemos_Message,Select "Open Memo" or press~[<system.button(run)>] to open the~Memo Window.*You can mark the cards with~the numbers 1 through 3,~but also with a Voltorb mark.*When you have an idea of the~numbers hidden on the back~of the cards, open the Memo~Window, choose the type of~mark you want to use with~the Mouse Wheel or the~Gamepad's Shoulder Buttons~and then press [<system.button(enter1)>]~while highlighting the card~you want to mark.*If you want to remove a mark,~choose the type of mark you~want to remove with the~Mouse Wheel or the Gamepad's~Shoulder Buttons and then~press [<system.button(back1)>] while~highlighting the card you~want to remove the mark from.*You can also use the~mouse to select a~mark type or a card.
VoltorbFlip_Tutorial_HowToPlay_Image1,If you flip the cards in this order, you'll collect: 3 x 1 x 2 x 1 x 3... A total of 18 Coins! And then...
VoltorbFlip_Tutorial_HowToPlay_Image2,If you select "Quit", you'll keep those 18 Coins.
VoltorbFlip_Tutorial_HowToPlay_Image3,But if you find Voltorb, you'll lose all your Coins!
VoltorbFlip_Tutorial_Hint_Image,By looking at the numbers on the sides of the cards, you can see the hidden number and Voltorb totals.
VoltorbFlip_Tutorial_AboutMemos_Image,Select "Open Memo" to open the Memo Window. Select the cards and press [<system.button(enter1)>] to add and [<system.button(back1)>] to remove marks.
----
PokedexScreen
pokedex_seen,Vu:
pokedex_obtained,Obtenu:
pokedex_available,Disponible:
pokedex_select,Choisis un Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Choisis un Habitat
pokedex_order,Ordre
pokedex_order_numeric,Numérique
pokedex_order_alphabetically,A-Z
pokedex_order_height,Taille
pokedex_order_weight,Poids
pokedex_filter,Filtre:
pokedex_filter_none,Aucun
pokedex_filter_name,Nom
pokedex_filter_type1,Type 1
pokedex_filter_type2,Type 2
pokedex_search_hint,Press [<system.button(special)>] or Select to search.
pokedex_search_no_results,Aucun resulat.
pokedex_data_species,ESPÈCES
pokedex_data_type,TYPE
pokedex_data_height,TAILLE
pokedex_data_weight,POIDS
pokedex_data_form_switch_hint,Appuie sur [Shift] pour changer de forme
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Évolution
pokedex_habitat_area_unknown,Zone inconnue.
pokedex_evolution_no_evolutions,N'évolue pas.
----
Receiving Items:
item_received_single,Reçois~
item_received_multiple,Reçois
item_found,<player.name> trouve:
item_stored_in_pocket_single_start,<player.name> met dans la~
item_stored_in_pocket_single_end,poche.
item_stored_in_pocket_multiple_start,<player.name> met dans la~
item_stored_in_pocket_multiple_end,poche.

Berries:
berry_picked_single_start,<player.name> Cueille~
berry_picked_single_end,Baie.
berry_picked_multiple_start,<player.name> Cueille~
berry_picked_multiple_end,Baies.
----
Battle:
battle_trainer_about_to_send_out_1,est sur le point d'envoyer
battle_trainer_about_to_send_out_2,! Veux-tu changer de Pokémon ?
battle_switch_already_in_battle,est déjà en combat!
battle_switch_fainted,est KO!
battle_switch_egg,Impossible d'envoyer l'œuf!
battle_cannot_switch,Impossible de changer.
battle_cannot_run,N'a pas réussi à s'enfuir.
battle_cannot_run_ability,N'a pas réussi a s'enfuir à cause de~
battle_MoveDisabled,Disabled!
battle_ThrowMud,Throw Mud
battle_ThrowBait,Throw Bait
battle_Run,Run
battle_Battle,Battle
battle_Bag,Bag
battle_Surrender,Surrender
