language_name,Nederlands
=====
Global:
global_join,Verbind
global_play,Speel
global_refresh,Ververs
global_new,Nieuw
global_add,Voeg toe
global_edit,Pas aan
global_remove,Verwijder
global_please_wait,Even geduld
global_loading,Laden
global_game,Spel
global_login,Log in
global_male,Man
global_female,Vrouw
global_genderless,Overig
global_yes,Ja
global_no,Nee
global_accept,Bevestig
global_cancel,Annuleer
global_gamemode,Spelmodus
global_clear,Wis
global_save,Sla op
global_apply,Pas toe
global_close,Sluit
global_back,Terug
global_on,Aan
global_off,Uit
global_enabled,Actief
global_disabled,Niet actief
global_enable,Activeer
global_disable,Deactiveer
global_player_name,Spelernaam
global_badges,Badges
global_play_time,Speeltijd
global_location,Locatie
global_money,Geld
global_points,Punten
global_name,Naam
global_order,Volgorde
global_filter,Filter
global_reset,Herstel
global_pokemon_type_normal,Normaal
global_pokemon_type_fire,Vuur
global_pokemon_type_flying,Vlieg
global_pokemon_type_fighting,Vecht
global_pokemon_type_water,Water
global_pokemon_type_grass,Gras
global_pokemon_type_poison,Gif
global_pokemon_type_ground,Grond
global_pokemon_type_electric,Electrisch
global_pokemon_type_psychic,Psychisch
global_pokemon_type_rock,Rots
global_pokemon_type_ice,Ijs
global_pokemon_type_bug,Insect
global_pokemon_type_dragon,Draak
global_pokemon_type_ghost,Geest
global_pokemon_type_dark,Duister
global_pokemon_type_steel,Staal
global_pokemon_type_fairy,Fee
global_pokemon_type_blank,Blanco
global_true,Goed
global_false,Fout
global_select,Kies
global_summary,Overzicht
global_item,Voorwerp
global_use,Gebruik
global_give,Geef
global_take,Neem
global_toss,Gooi weg
global_switch,Verwissel
global_pokemon_move_fly,Vliegen
global_pokemon_move_rocksmash,Steenknal
global_pokemon_move_ride,Rijden
global_pokemon_move_flash,Flits
global_pokemon_move_cut,Snijd
global_pokemon_move_teleport,Teleporteer
global_pokemon_move_dig,Graaf
global_used,Gebruikt
global_eggs_cannot_hold,Eieren kunnen niets vasthouden.
---
General:
HP,IP
PP,KP
Lv.,Nv.
Level,Niveau
Attack,Aanval
Defense,Verdediging
Special_Attack,Speciale Aanval
Special_Defense,Speciale Verdediging
Speed,Snelheid
---
GameInteractions:
game_interaction_interact,Actie
game_interaction_gamemenu,Spelmenu
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Pauzemenu
game_interaction_notification,Notificatie
game_notification_accept,<system.button(special)> om te reageren.
game_notification_dismiss,<system.button(special)> om weg te halen.
---
PressStartScreen:
start_screen_press,Druk op
start_screen_tostart,om te beginnen.
---
Main Menu:
main_menu_newgame_line1,Nieuw
main_menu_newgame_line2,Spel
main_menu_options,Opties
main_menu_savefile_name,Spelernaam
main_menu_savefile_gamemode,Spelmodus
main_menu_savefile_badges,Badges
main_menu_savefile_playtime,Speeltijd
main_menu_savefile_location,Locatie
main_menu_error_gamemode_profile,De vereiste Spelmodus bestaat niet!
main_menu_error_gamemode_message,De vereiste Spelmodus bestaat niet.~Voeg de Spelmodus opnieuw toe om dit profiel te gebruiken.
main_menu_error_gamejolt_1,Download mislukt. Druk op "Bevestig" om opnieuw te proberen.
main_menu_error_gamejolt_2,Als het probleem zich nog steeds voordoet, probeer het dan later nog eens
main_menu_error_gamejolt_3,of neem contact op met ons via onze Discord server:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,Bestandvalidatie mislukt!~Download de spelbestanden opnieuw om dit probleem op te lossen.
main_menu_options_language,Taal
main_menu_options_audio,Geluid
main_menu_options_controls,Besturing
main_menu_options_contentpacks_line1,Inhouds-
main_menu_options_contentpacks_line2,pakketten

DeleteScreen:
delete_menu_delete_confirm,Wil je dit opslagbestand echt verwijderen?
delete_menu_delete,Verwijder
delete_menu_cancel,Annuleer

GameModeMenu:
gamemode_menu_select1,Selecteer een Spelmodus
gamemode_menu_select2,om een nieuw spel mee te beginnen.
gamemode_menu_name,Naam
gamemode_menu_description,Beschrijving
gamemode_menu_version,Versie
gamemode_menu_author,Auteur
gamemode_menu_contentpath,Inhoudspad
gamemode_menu_create,Creëer
gamemode_menu_back,Terug
---
JoinServerScreen:
join_server_screen_title,Verbind met een server:
join_server_screen_local_server_title,Lokaal
join_server_screen_local_server_description,Één-Speler: Speel op je lokale computer.
join_server_screen_button_join,Verbind
join_server_screen_button_play,Speel
join_server_screen_button_refresh,Ververs
join_server_screen_button_new,Nieuw
join_server_screen_button_add,Voeg toe
join_server_screen_button_edit,Bewerk
join_server_screen_button_remove,Verwijder
join_server_screen_tooltip_no_players,Geen spelers op de server.
join_server_screen_tooltip_player_list,Spelerlijst
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Server niet bereikbaar.
join_server_screen_server_online,Server beschikbaar.
join_server_screen_server_polling,Peilen
join_server_screen_server_full,De server is vol.
join_server_screen_version_mismatch,Versie komt niet overeen met die van de server.
join_server_screen_no_connection,(geen verbinding)
---
Options Screen:
option_screen_title,Opties
option_screen_warning,Opties zijn nog niet opgeslagen, vergeet niet op "Pas toe" te drukken voor je terug gaat.
option_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
option_screen_description,Description

option_screen_game,Spel
option_screen_game_textspeed,Tekstsnelheid
option_screen_game_textspeed_description,The speed the textbox shows up and~displays the text
option_screen_game_difficulty,Moeilijkheidsgraad
option_screen_game_difficulty_description,Difficulty mode~Sets the level of difficulty.
option_screen_game_difficulty_easy,Makkelijk
option_screen_game_difficulty_hard,Moeilijk
option_screen_game_difficulty_superhard,Supermoeilijk
option_screen_game_viewbobbing,Loopbeweging
option_screen_game_viewbobbing_description,Turns camera shaking on or off.

option_screen_graphics,Beeld
option_screen_graphics_fov,Gezichtsveld
option_screen_graphics_renderdistance,Renderafstand
option_screen_graphics_renderdistance_tiny,Heel dichtbij
option_screen_graphics_renderdistance short,Dichtbij
option_screen_graphics_renderdistance_normal,Normaal
option_screen_graphics_renderdistance_far, Ver
option_screen_graphics_renderdistance_extreme,Extreem ver
option_screen_graphics_offset_mapquality,Offset-kaart kwaliteit
option_screen_graphics_offset_mapquality_off,Uit
option_screen_graphics_graphics,Beeldkwaliteit
option_screen_graphics_graphics_fancy,Hoog
option_screen_graphics_graphics_fast,Laag
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Gevecht
option_screen_battle_3dmodels,3D Modellen
option_screen_battle_animations,Animaties
option_screen_battle_battlestyle,Gevechtstijl
option_screen_battle_battlestyle_shift,Wisselen
option_screen_battle_battlestyle_set,Doorgaan

option_screen_controls,Besturing
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Toetsen Herstellen
option_screen_controls_cameraspeed,Camerasnelheid
option_screen_controls_cameraspeed_slow,...Traag...
option_screen_controls_cameraspeed_medium,Standaard
option_screen_controls_cameraspeed_fast,Supersnel!
option_screen_controls_cameraspeed_fastest,LICHTSNELHEID!

option_screen_audio,Geluid
option_screen_audio_volume_music,Muziekvolume
option_screen_audio_volume_sfx,Geluidenvolume
option_screen_audio_muted,Gedempt

option_screen_contentpacks_up,Verplaats omhoog
option_screen_contentpacks_down,Verplaats omlaag
option_screen_contentpacks_information,Informatie
option_screen_contentpacks_songs,Muziek
option_screen_contentpacks_sounds,Geluiden
option_screen_contentpacks_textures,Texturen
option_screen_contentpacks_name,Naam
option_screen_contentpacks_version,Versie
option_screen_contentpacks_by,Van
option_screen_contentpacks_content,Inhoud
option_screen_contentpacks_description,Beschrijving

option_screen_resetoptions,Herstel Opties
option_screen_save_options,Sla Opties Op
option_screen_close,Sluit
---
Pausescreen:
pause_menu_title,Spelmenu
pause_menu_back_to_game,Terug naar spel
pause_menu_disconnect,Verbreek verbinding
pause_menu_quit_to_menu,Terug naar menu
pause_menu_autosave_fail,Kan niet automatisch opslaan.
pause_menu_yes,Ja
pause_menu_no,Nee
pause_menu_confirmation,Wil je het spel echt verlaten? Niet-opgeslagen gegevens zullen verloren gaan.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Tas
game_menu_trainer_card,<playername>
game_menu_save,Opslaan
game_menu_save_notpossible,Het spel opslaan is momenteel~niet mogelijk.
game_menu_options,Opties
game_menu_exit,Menu Verlaten
game_menu_end_contest,Stop Wedstrijd
---
InventoryScreen:
inventory_menu_bag,Tas
inventory_menu_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
inventory_menu_items,Voorwerpen
inventory_menu_description,Beschrijving
---
NewGameScreen:
new_game_intro_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_intro_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_intro_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_intro_weird_name_1,Right! So your name is~
new_game_intro_weird_name_2,!*Hm that is a~weird name.
new_game_intro_known_name_1,Right! So your name is~
new_game_intro_known_name_2,!*Hm I am sure I~heard this name before.
new_game_intro_same_name_1,Hey we got the~same names.*My name is also~
new_game_intro_same_name_2,!
new_game_intro_name_1,Right! So your name is~
new_game_intro_name_2,!
new_game_your_name,What's your name?
new_game_select_skin,Select your appearance
new_game_name_too_short,This name is too short
---
MapScreen:
map_screen_cities,Steden
map_screen_routes,Routes
map_screen_places,Plaatsen
map_screen_roaming,Dwalende Pokémon
---
PokedexScreen:
pokedex_screen_seen,Gezien
pokedex_screen_obtained,Gevangen
pokedex_screen_rare,Zeldzaam
pokedex_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Kies een Pokémon
pokemon_screen_backadvice, Druk op <system.button(openmenu)> om terug te gaan.
pokemon_screen_item_give,Geef
pokemon_screen_item_take,Neem
pokemon_screen_item_back,Terug
pokemon_screen_doesnt_hold_item,~houdt geen voorwerp vast.
pokemon_screen_take_item_1,Nam 
pokemon_screen_take_item_2,van~
pokemon_screen_take_item_3,~en stopte die in het~
pokemon_screen_take_item_4, vakje!
pokemon_screen_give_item_1,Gaf
pokemon_screen_give_item_2, aan~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~en stopte
pokemon_screen_give_item_5,~terug in de tas.
pokemon_screen_summary,Overzicht
pokemon_screen_switch,Verwissel
pokemon_screen_item,Voorwerp
pokemon_screen_back,Terug
pokemon_screen_EMPTY,LEEG
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Aard
poke_status_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
poke_status_screen_closeadvice,DRUK OP <system.button(openmenu)> OM TE SLUITEN
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Ervaring
poke_status_screen_nxt_lv,Nog nodig
poke_status_screen_stats_page,Eigenschappen
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Voorwerp
poke_status_screen_no_item,Geen Voorwerp
poke_status_screen_ability,Vaardigheid
poke_status_screen_details_page,Details
Page 3:
poke_status_screen_power,Kracht
poke_status_screen_accuracy,Nauwkeurigheid
poke_status_screen_moves_page,Aanvallen
---
Trainer Card Screen:
trainer_screen_trainer_card,Trainerkaart
trainer_screen_name,Naam
trainer_screen_points,Punten
trainer_screen_money,Geld
trainer_screen_pokedex,Pokédex
trainer_screen_time,Tijd
trainer_screen_collected_badges,Verzamelde badges
trainer_screen_badge, Badge
trainer_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Wil je het spel opslaan?
save_screen_name,Naam
save_screen_badges,Badges
save_screen_money,Geld
save_screen_time,Tijd
save_screen_yes,Ja
save_screen_no,Nee
save_screen_success,Het spel is opgeslagen.
---
Item Detail Screen:
item_detail_screen_use,Gebruik
item_detail_screen_give,Geef
item_detail_screen_trash,Gooi weg
item_detail_screen_back,Terug
item_detail_screen_give_item,Geef
---
Apricornscherm:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,Ik ben bezig met het maken van de PokéBalls.~Kom later terug.
apricorn_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
apricorn_screen_choose_apricorns,Selecteer de Apricorns waarvan ik PokéBalls moet maken.
apricorn_screen_ok,Oké
apricorn_screen_clear,Wis
apricorn_screen_take,Neem
apricorn_screen_ready,Ik heb de PokéBalls voor je gemaakt. Hier is het resultaat van mijn werk:
apricorn_screen_obtain,Ontvangen
---
Daycare screen:
daycare_screen_daycare,Dagopvang
daycare_screen_money, / Geld: 
daycare_screen_deposit,Deponeer
daycare_screen_grown,Gegroeid: 
daycare_screen_lv, / Nv. 
daycare_screen_costs, / Kosten:
daycare_screen_pokedollar, PokéDollar
daycare_screen_withdraw,Haal op
daycare_screen_backadvice,DRUK OP <system.button(openmenu)> OM TERUG TE GAAN
daycare_screen_pokemon_choose_header,Deponeer Pokémon
Egg,Ei
---
Donation screen:
donation_screen_donators,Donateurs
donation_screen_backadvice,,DRUK OP <system.button(openmenu)> OM TE SLUITEN
---
Blackout Screen:
black_out_screen_line1,Je hebt geen strijdbare Pokémon meer!
black_out_screen_line2,Je zult naar het dichtstbijzijnde
black_out_screen_line3,PokéCenter gebracht worden
black_out_screen_line4, om verdere schade aan je
black_out_screen_line5,Pokémon te voorkomen.
---
Voltorb Flip:
VoltorbFlip_LV.,NV.
VoltorbFlip_CurrentCoins_Line1,Munten in dit
VoltorbFlip_CurrentCoins_Line2,Nv. verzameld
VoltorbFlip_TotalCoins_Line1,<player.name>'s
VoltorbFlip_TotalCoins_Line2,Muntentotaal

VoltorbFlip_MemoButton_Open_Line1,Open
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Sluit
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Stop

VoltorbFlip_QuitQuestion_Question_1,Als je nu stopt, ontvang~je
VoltorbFlip_QuitQuestion_Question_2,Munt(en).*Wil je stoppen?
VoltorbFlip_QuitQuestion_AnswerYes,Ja
VoltorbFlip_QuitQuestion_AnswerNo,Nee

VoltorbFlip_BeforeNewLevel_Main_Question_1,Speel Voltorb Flip Niveau
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Speel
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Spelinfo
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Stop
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Welke Spelinfo?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,Hoe te spelen
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,Over Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Terug

VoltorbFlip_GameWon_1,Spel voltooid!~Je hebt alle verstopte~x2 en x3 kaarten gevonden.*<player.name> ontving~
VoltorbFlip_GameWon_2,Munt(en)!

VoltorbFlip_GameLost,Oh nee! Je ontvangt 0 Munten!

VoltorbFlip_MaxCoins,Er passen niet nog meer~Munt(en) in je Muntenkist!

VoltorbFlip_NewLevel_Lower1,Gedaald naar Spelniveau
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Gestegen naar Spelniveau
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Klaar om Spelniveau
VoltorbFlip_NewLevel_Ready2,~te spelen!

VoltorbFlip_QuitGame_1,<player.name> ontving~
VoltorbFlip_QuitGame_2,Munt(en)!

VoltorbFlip_AfterGame_Won1,Je hebt
VoltorbFlip_AfterGame_Won2,Munt(en) gewonnen!
VoltorbFlip_AfterGame_Lost,Jammer, je hebt geen munten~gewonnen!*Volgende keer beter!

VoltorbFlip_BeforeGame_NoCoinCase,Je hebt geen Muntenkist!~Kom terug als je er een hebt!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is een spel waarin~je kaarten omdraait om de~cijfers eronder te onthullen.*De kaarten verbergen de~cijfers 1 t/m 3...~maar ook Voltorb.*Het eerste cijfer dat je~omdraait zal je dat aantal~Munten geven.*Vanaf dat moment zal het~volgende cijfer dat je vind~het totaal aantal Munten dat~je hebt verzameld~vermenigvuldigen met dat getal.*Als het een 2 is, wordt het~totaal twee keer zoveel.*Als het een 3 is, wordt het~totaal drie keer zoveel.*Maar als je een Voltorb~omdraait, is het spel voorbij.*Als dat gebeurt, verlies je~alle Munten die je in het~huidige niveau hebt verzameld.*Als je "Stop" selecteert,~zal je het niveau verlaten.*Als het te moeilijk wordt, is~het soms handiger om eerder~te stoppen.*Als je alle verstopte 2 en 3~kaarten hebt gevonden, heb je~het spel voltooid.*Als je al deze kaarten hebt~omgedraaid, zul je stijgen~naar het volgende niveau.*Op hogere niveaus heb je kans~om meer munten winnen.~Doe je best!
VoltorbFlip_Tutorial_Hint_Message,De cijfers aan de zijkant van~het bord geven je een~aanwijzing over de getallen~die verborgen zijn op de~achterkant van de kaarten.*Hoe groter de cijfers, hoe~waarschijnlijker het is dat~er veel grote getallen~verborgen zitten in die rijen~of kolommen.*Op dezelfde manier kun je zien~hoeveel Voltorb verborgen zijn~in een rij of kolom.*Denk goed na over de totalen~van de verborgen getallen en~de Voltorb-totalen als je~kaarten omdraait.
VoltorbFlip_Tutorial_AboutMemos_Message,Selecteer "Open Memo" of druk~op [<system.button(run)>] om het ~Memo-venster te openen.*Je kunt de kaarten markeren~met de cijfers 1 t/m 3, maar~ook met een Voltorbmarkering.*Als je een idee hebt welke~cijfers achterop de kaarten~kunnen staan, open dan het~Memo-venster, kies het type~markering dat je wilt~gebruiken met het muiswiel of~de schouderknoppen van de~controller en druk op~[<system.button(enter1)>] terwijl je de~cursor op de kaart hebt staan~die je wilt markeren.*Als je een markering wilt~verwijderen, kies het type~markering dat je wilt~verwijderen met het muiswiel of~de schouderknoppen van de~controller en druk op [<system.button(back1)>]~terwijl je de cursor op de~kaart hebt staan waar je de~markering van wilt verwijderen.*Je kunt ook de muis gebruiken~om een kaart of type markering~te selecteren.
VoltorbFlip_Tutorial_HowToPlay_Image1,Als je de kaarten omdraait in deze volgorde, krijg je in totaal:~3 x 1 x 2 x 1 x 3... 18 Munten! En dan...
VoltorbFlip_Tutorial_HowToPlay_Image2,Als je "Stop" selecteert, hou je deze 18 Munten.
VoltorbFlip_Tutorial_HowToPlay_Image3,Maar vind je een Voltorb, dan verlies je al je Munten!
VoltorbFlip_Tutorial_Hint_Image,Door te kijken naar de cijfers naast de kaarten, kun je het totaal verborgen cijfers en Voltorb zien.
VoltorbFlip_Tutorial_AboutMemos_Image,Selecteer "Open Memo" om het Memo-venster te openen. Kies de kaarten en voeg markeringen toe met [<system.button(enter1)>] en haal ze weg met [<system.button(back1)>].
----
PokedexScreen
pokedex_seen,Gezien:
pokedex_obtained,Gevangen:
pokedex_available,Available:
pokedex_select,Kies een Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Kies een Habitat
pokedex_order,Volgorde:
pokedex_order_numeric,Numeriek
pokedex_order_alphabetically,A-Z
pokedex_order_height,Lengte
pokedex_order_weight,Gewicht
pokedex_filter,Filter:
pokedex_filter_none,Geen
pokedex_filter_name,Naam
pokedex_filter_type1,Type 1
pokedex_filter_type2,Type 2
pokedex_search_hint_1,Druk op
pokedex_search_hint_2,op het toetsenbord om te zoeken.
pokedex_search_no_results,Geen zoekresultaten
pokedex_data_species,SOORT
pokedex_data_type,TYPE
pokedex_data_height,LENGTE
pokedex_data_weight,GEWICHT
pokedex_data_form_switch_hint,Druk op [Shift] om te wisselen tussen vormen
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolutie
pokedex_habitat_area_unknown,Gebied onbekend.
pokedex_evolution_no_evolutions,evolueert niet.
----
Receiving Items:
item_received_single,Ontving een~
item_received_multiple,Ontving
item_stored_in_pocket_single_start,<player.name> stopte het weg~in het
item_stored_in_pocket_single_end,vakje.
item_stored_in_pocket_multiple_start,<player.name> stopte ze weg~in het
item_stored_in_pocket_multiple_end,vakje.

Berries:
berry_picked_single_start,<player.name> plukte de~
berry_picked_single_end,Bes.
berry_picked_multiple_start,<player.name> plukte de~
berry_picked_multiple_end,Bessen.
----
Battle:
battle_trainer_about_to_send_out_1,staat op het punt om
battle_trainer_about_to_send_out_2,in te zetten om te vechten! Wil je je Pokémon verwisselen met een andere?
battle_choose_pokemon,Kies Pokémon
battle_switch_already_in_battle,is al~aan het vechten!
battle_switch_fainted,is uitgeschakeld!
battle_switch_egg,Kan geen ei inzetten!
battle_cannot_switch,Kan niet wisselen.
---
During Intro & Outro:
--
battle_main_wild_appear_1,Een wilde
battle_main_wild_appear_2,~kwam tevoorschijn!
battle_main_trainer_intro_1,en~
