Name|Mega Gyarados
Number|130
ExperienceType|3
BaseExperience|189
Type1|Water
Type2|Dark
CatchRate|45
BaseFriendship|70
EggGroup1|Water2
EggGroup2|Dragon
BaseEggSteps|1530
EggPokemon|129
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|104
Ability2|Nothing
HiddenAbility|104
Machines|29,174,46,92,192,249,237,173,59,63,196,182,240,203,218,225,87,89,216,104,207,214,201,197,156,213,34,36,38,61,55,58,99,82,85,102,117,130,86,164,352,258,269,53,259,263,290,362,406,371,416,444,419,445,399,363,496,503,510,523,525,590,57,70,250,127,291
TutorMoves|340
BaseHP|95
BaseAttack|155
BaseDefense|109
BaseSpAttack|70
BaseSpDefense|130
BaseSpeed|81
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They say that during past strife GYARADOS would appear and leave blazing ruins in its wake.\Atrocious Pokémon\305\6.5\0,148,0
Scale|2
Move|1,37
Move|20,44
Move|23,82
Move|26,43
Move|29,239
Move|32,423
Move|35,401
Move|38,240
Move|41,56
Move|44,349
Move|47,63
TradeValue|35
