Name|Mega Pidgeot
Number|18
ExperienceType|2
BaseExperience|211
Type1|Normal
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|16
IsGenderLess|0
IsMale|50
Ability1|99
Ability2|Nothing
HiddenAbility|99
EggMoves|314,403,413,432,185,193,228,211,253
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,129,197,156,213,168,211,13,18,36,38,99,102,117,143,164,332,263,290,355,416,432,445,363,365,369,496,526,590,19
BaseHP|83
BaseAttack|80
BaseDefense|80
BaseSpAttack|135
BaseSpDefense|80
BaseSpeed|121
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|3
CanFly|0
CanSwim|0
Pokedex|Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.\Bird Pokémon\50.5\2.2\0,148,0
Scale|1.3
Move|1,16
Move|1,28
Move|1,33
Move|1,98
Move|1,542
Move|5,28
Move|9,16
Move|13,98
Move|17,18
Move|22,239
Move|27,297
Move|32,97
Move|38,17
Move|44,355
Move|50,366
Move|56,119
Move|62,403
Move|68,542
TradeValue|35
