Name|Rattata
Number|19
ExperienceType|1
BaseExperience|51
Type1|Dark
Type2|Normal
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|19
Devolution|0
IsGenderLess|0
IsMale|50
Ability1|82
Ability2|55
HiddenAbility|47
EggMoves|68,515,154,382,279,179,289,254,256,415,253
Machines|29,174,92,249,237,241,173,59,196,182,240,203,218,231,216,91,247,189,104,207,214,188,129,111,197,156,168,14,34,36,38,58,6,68,99,102,117,130,86,164,269,259,263,290,289,374,373,421,399,363,447,365,369,496,511,555,590,270,15
BaseHP|30
BaseAttack|56
BaseDefense|35
BaseSpAttack|25
BaseSpDefense|35
BaseSpeed|72
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|With its incisors, it gnaws through doors and infiltrates peopleâ€™s homes. Then, with a twitch of its whiskers, it steals whatever food it finds.\Mouse Pokémon\3.8\0.3\0,148,0
Scale|0.7
Move|1,33
Move|1,39
Move|4,98
Move|7,116
Move|10,44
Move|13,228
Move|16,158
Move|19,372
Move|22,242
Move|25,389
Move|28,162
Move|31,38
Move|34,283
EvolutionCondition|20_alola,Level,20,Level
EvolutionCondition|20_alola,daytime,0;3,level
Item|5,2002
TradeValue|10
EvolutionLine|19\0\-2,20\2\-2
EvolutionLine|19_alola\0\0,20_alola\2\0
