Name|Wobbuffet
Number|202
ExperienceType|1
BaseExperience|142
Type1|Psychic
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|360
IsGenderLess|0
CanBreed|1
Devolution|360
IsMale|50
Ability1|23
Ability2|Nothing
HiddenAbility|140
Machines|
BaseHP|190
BaseAttack|33
BaseDefense|58
BaseSpAttack|33
BaseSpDefense|58
BaseSpeed|33
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It hates light and shock. If attacked, it inflates its body to build up its counterstrike.\Patient Pokémon\28.5\1.3\0,148,0
Scale|1.12
Move|1,68
Move|1,243
Move|1,219
Move|1,194
TradeValue|30
