Name|Raticate
Number|20
ExperienceType|1
BaseExperience|145
Type1|Dark
Type2|Normal
CatchRate|127
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|19
Devolution|19_alola
IsGenderLess|0
IsMale|50
Ability1|82
Ability2|55
HiddenAbility|47
EggMoves|68,515,154,382,279,179,289,254,256,415,253
Machines|29,174,46,92,249,237,241,173,59,196,182,240,203,218,231,216,91,247,189,104,207,214,188,129,111,197,156,168,14,34,36,38,58,6,68,99,102,117,130,86,164,339,269,351,259,263,290,289,374,373,421,399,363,447,365,369,474,482,496,511,555,590,270,15,70
BaseHP|55
BaseAttack|81
BaseDefense|60
BaseSpAttack|50
BaseSpDefense|70
BaseSpeed|97
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It forms a group of Rattata, which it assumes command of. Each group has its own territory, and disputes over food happen often.\Mouse Pokémon\25.5\0.7\0,148,0
Scale|0.88
Move|1,184
Move|1,14
Move|1,33
Move|1,39
Move|1,98
Move|1,116
Move|4,98
Move|7,116
Move|10,44
Move|13,228
Move|16,158
Move|19,372
Move|24,242
Move|29,389
Move|34,162
Move|39,38
Move|44,283
Item|5,2002
TradeValue|20
