Name|Zigzagoon
Number|263
ExperienceType|1
BaseExperience|48
Type1|Dark
Type2|Normal
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|263
RegionalForms|Galar
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|53
Ability2|82
HiddenAbility|95
EggMoves|204,270,189,228,431,493,214,321,271,164
Machines|29,174,205,92,249,237,241,173,59,196,182,240,203,218,231,87,216,91,247,189,104,207,214,129,111,197,156,168,210,34,36,61,55,58,6,99,85,102,117,130,86,164,352,269,351,259,263,290,289,206,374,451,399,363,447,468,496,497,514,526,555,590,270,15,57,250
BaseHP|38
BaseAttack|30
BaseDefense|41
BaseSpAttack|30
BaseSpDefense|41
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It gets interested in everything which is why it zigs and zags. It is good at finding items.\TinyRaccoon Pokémon\17.5\0.4\0,148,0
Scale|0.7
Move|1,33
Move|1,43
Move|3,28
Move|6,122
Move|9,555
Move|12,29
Move|14,608
Move|16,316
Move|18,42
Move|20,300
Move|22,156
Move|24,36
Move|27,184
Move|30,68
Move|33,269
Move|36,38
TradeValue|5
Item|5,2006
EvolutionCondition|264_galar,Level,20,Level
