Name|Linoone
Number|264
ExperienceType|1
BaseExperience|147
Type1|Dark
Type2|Normal
CatchRate|90
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|263
RegionalForms|Galar
IsGenderLess|0
CanBreed|1
Devolution|263_galar
IsMale|50
Ability1|53
Ability2|82
HiddenAbility|95
EggMoves|204,270,189,228,431,493,214,321,271,164
Machines|29,174,205,46,92,249,237,241,173,59,196,182,240,203,218,231,87,216,91,247,189,104,207,214,129,111,197,156,168,210,34,36,38,61,55,58,6,99,85,102,117,130,86,164,352,269,351,259,263,290,289,206,374,451,421,399,363,447,468,496,497,514,526,555,590,693,270,15,57,70
BaseHP|78
BaseAttack|70
BaseDefense|61
BaseSpAttack|50
BaseSpDefense|61
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|When running in a straight line can easily top 60 miles an hour. It has a tough time with curved roads.\Rushing Pokémon\32.5\0.5\0,148,0
Scale|0.7
Move|1,608
Move|1,42
Move|1,400
Move|1,415
Move|1,33
Move|1,43
Move|3,28
Move|6,122
Move|9,555
Move|12,29
Move|14,468
Move|16,316
Move|18,154
Move|20,400
Move|22,300
Move|24,156
Move|29,36
Move|34,184
Move|39,68
Move|44,269
Move|49,38
TradeValue|15
Item|5,2009
Item|50,2006
EvolutionCondition|862,Level,35,Level
EvolutionCondition|862,daytime,0;3,level
EvolutionLine|263\-2\-2,264\0\-2
EvolutionLine|263_galar\-2\0,264_galar\0\0,862\2\0
