Name|Rotom
Number|479
ExperienceType|1
BaseExperience|154
Type1|Electric
Type2|Fire
CatchRate|45
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|479
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,192,244,237,241,173,63,182,240,203,218,87,216,247,189,104,207,214,129,138,197,156,213,168,171,99,85,102,117,120,86,149,161,164,113,351,263,290,289,451,261,416,445,399,363,477,496,521,590,148
BaseHP|50
BaseAttack|65
BaseDefense|107
BaseSpAttack|105
BaseSpDefense|107
BaseSpeed|86
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Research continues on this Pokémon which could be the power source of a unique motor.\Plasma Pokémon\0.3\0.3\0,148,0
Scale|0.7
Move|1,435
Move|1,268
Move|1,271
Move|1,310
Move|1,86
Move|1,84
Move|1,109
Move|8,253
Move|15,104
Move|22,351
Move|29,466
Move|36,164
Move|43,486
Move|50,506
Move|57,268
Move|64,435
TradeValue|55
