Name|Gothitelle
Number|576
ExperienceType|2
BaseExperience|221
Type1|Psychic
Type2|
CatchRate|50
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|574
IsGenderLess|0
CanBreed|1
Devolution|575
IsMale|25
Ability1|119
Ability2|172
HiddenAbility|23
EggMoves|445,399,505,212,357,243,253
Machines|174,92,192,244,237,230,173,63,182,240,203,218,216,94,247,104,207,214,138,197,156,213,168,171,5,25,34,36,38,99,85,100,102,115,117,118,86,149,157,161,164,264,352,347,269,113,219,280,317,259,263,290,285,289,412,374,451,373,371,278,416,445,363,447,433,473,477,490,496,612,590,148
BaseHP|70
BaseAttack|55
BaseDefense|95
BaseSpAttack|95
BaseSpDefense|110
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|3
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can see the future from the movement of the stars. When it learns its Trainer's life span, it cries in sadness.\Astral Body Pokémon\44\1.5\0,148,0
Scale|1.2
Move|1,1
Move|1,93
Move|1,321
Move|1,589
Move|3,93
Move|7,321
Move|10,313
Move|14,3
Move|16,60
Move|19,373
Move|24,185
Move|25,473
Move|28,260
Move|31,248
Move|34,377
Move|39,94
Move|45,477
Move|54,204
Move|59,478
TradeValue|60
Item|50,2007
