Name|Joltik
Number|595
ExperienceType|1
BaseExperience|64
Type1|Bug
Type2|Electric
CatchRate|190
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|5355
EggPokemon|595
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|14
Ability2|127
HiddenAbility|68
EggMoves|293,440,50,185,42,40,228,431
Machines|174,92,237,173,63,182,240,202,203,218,216,104,207,214,111,197,156,213,168,99,85,102,117,86,164,113,351,263,290,412,451,416,445,404,363,398,496,521,522,528,611,590,148
BaseHP|50
BaseAttack|47
BaseDefense|50
BaseSpAttack|57
BaseSpDefense|50
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Since it can't generate its own electricity, it sticks onto large-bodied Pokémon and absorbs static electricity.\Attaching Pokémon\0.6\0.1\0,148,0
Scale|0.7
Move|1,81
Move|1,141
Move|1,169
Move|4,86
Move|7,103
Move|12,210
Move|15,527
Move|18,450
Move|23,380
Move|26,163
Move|29,486
Move|34,324
Move|37,97
Move|40,389
Move|45,435
Move|48,405
TradeValue|20
EvolutionCondition|596,level,36,level
