Name|Tornadus
Number|641
ExperienceType|3
BaseExperience|261
Type1|Flying
Type2|
CatchRate|3
BaseFriendship|90
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|641
IsGenderLess|0
CanBreed|0
Devolution|0
IsMale|100
Ability1|144
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,249,237,173,63,196,182,240,203,218,231,216,94,104,207,214,188,197,156,213,168,171,13,18,36,38,99,102,117,164,269,280,332,259,263,290,411,374,373,371,416,432,445,399,363,447,369,479,482,496,507,510,512,590,19,70,250,560
BaseHP|79
BaseAttack|100
BaseDefense|80
BaseSpAttack|110
BaseSpDefense|90
BaseSpeed|121
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|In every direction it flies, creating winds so powerful, they blow everything away.\Cyclone Pokémon\63\1.5\0,148,0
Scale|1.2
Move|1,359
Move|1,37
Move|1,542
Move|1,366
Move|1,253
Move|1,310
Move|1,16
Move|7,207
Move|13,44
Move|19,279
Move|25,314
Move|31,326
Move|37,97
Move|43,403
Move|49,242
Move|55,366
Move|61,240
Move|67,542
Move|73,399
Move|79,359
Move|85,37
TradeValue|90
