Name|Barbaracle
Number|689
ExperienceType|1
BaseExperience|175
Type1|Rock
Type2|Water
CatchRate|120
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|688
IsGenderLess|0
CanBreed|1
Devolution|688
IsMale|50
Ability1|97
Ability2|181
HiddenAbility|124
EggMoves|270,415,321,346
Machines|223,174,92,249,237,173,59,63,182,240,203,218,89,216,91,189,104,8,207,214,188,201,197,156,213,168,210,5,14,25,34,36,38,61,55,58,66,68,69,99,90,102,117,120,130,157,161,164,264,337,352,339,269,219,280,317,332,259,263,290,411,206,362,374,409,373,421,371,416,397,444,419,446,445,404,363,398,447,468,479,482,496,503,523,526,611,267,612,590,15,57,70,250,291
BaseHP|72
BaseAttack|105
BaseDefense|115
BaseSpAttack|54
BaseSpDefense|86
BaseSpeed|68
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Barbaracle's legs and hands have minds of their own, and they will move independently. But they usually follow the head's orders.\Collective Pokémon\96.0\1.3\0,148,0
Scale|1.0
Move|1,444
Move|1,130
Move|1,504
Move|1,10
Move|1,28
Move|4,55
Move|7,110
Move|10,154
Move|13,163
Move|18,189
Move|20,128
Move|24,397
Move|28,246
Move|32,468
Move|37,210
Move|44,400
Move|48,534
Move|55,238
Move|60,444
Move|65,130
TradeValue|50

