Name|Geodude
Number|74
ExperienceType|2
BaseExperience|60
Type1|Rock
Type2|Electric
CatchRate|255
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|4080
EggPokemon|74_alola
Devolution|0
IsGenderLess|0
CanBreed|1
IsMale|50
Ability1|42
Ability2|5
HiddenAbility|206
EggMoves|475,335,68,174,203,175,393,431,103,469
Machines|223,29,174,205,92,249,237,241,173,182,203,218,87,89,216,91,189,104,207,214,201,111,9,197,156,7,5,34,36,38,66,68,69,99,85,102,117,118,120,86,153,157,164,264,280,317,263,290,374,451,397,444,360,446,363,479,496,521,528,267,612,590,693,270,276,70,148,431,560
BaseHP|40
BaseAttack|80
BaseDefense|100
BaseSpAttack|30
BaseSpDefense|30
BaseSpeed|20
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its body is a magnetic stone. Iron sand attaches firmly to the portions of its body that are particularly magnetic.\Rock Pokémon\20.3\0.4\0,148,0
Scale|0.7
Move|1,33
Move|1,111
Move|4,268
Move|6,397
Move|10,205
Move|12,209
Move|16,88
Move|18,479
Move|22,9
Move|24,120
Move|28,446
Move|30,350
Move|34,435
Move|36,153
Move|40,38
Move|42,444
TradeValue|10
Item|5,595
EvolutionCondition|75_alola,Level,25,Level
